distance_m,rssi_dbm,timestamp,name,address
1.0,-38.78,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-44.16,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.0,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.24,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-47.8,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-45.21,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.49,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.26,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-40.07,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.41,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.48,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.89,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.74,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-35.49,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-38.13,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.44,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-38.52,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.84,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.49,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-40.2,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-40.74,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-42.72,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-35.11,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-40.62,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.71,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.41,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.87,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-38.54,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-38.35,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-38.28,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-31.43,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.63,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-42.05,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.26,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.54,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-35.48,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-40.46,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.36,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.3,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.4,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.03,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.83,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-42.66,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.07,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.53,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.13,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.51,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.11,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.28,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.73,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-38.84,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.47,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-45.83,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.28,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.88,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-42.56,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.1,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-34.02,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-43.46,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.13,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-46.73,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-41.34,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-39.35,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.66,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-37.16,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
1.0,-36.83,2026-08-24T14:05:12.415802,PhoneKey(synthetic),synthetic
